Episode no = 1020; won: False; Q(s,a) = 65.47719881906899; reward = -467.0; and epsilon = 0.864, win percentage = 0.0, 2024-05-06 07:21:30
Episode no = 1030; won: False; Q(s,a) = 52.43882535461667; reward = -302.0; and epsilon = 0.8626666666666667, win percentage = 0.0, 2024-05-06 07:21:47
Episode no = 1040; won: False; Q(s,a) = 59.824203842673505; reward = -464.0; and epsilon = 0.8613333333333333, win percentage = 0.0, 2024-05-06 07:21:59
Episode no = 1050; won: False; Q(s,a) = 67.03004565121797; reward = -487.0; and epsilon = 0.86, win percentage = 0.0, 2024-05-06 07:22:13
Episode no = 1060; won: False; Q(s,a) = 60.619309608201384; reward = -353.0; and epsilon = 0.8586666666666667, win percentage = 0.0, 2024-05-06 07:22:26
Episode no = 1070; won: False; Q(s,a) = 69.82739089112783; reward = -487.0; and epsilon = 0.8573333333333333, win percentage = 0.0, 2024-05-06 07:22:39
Episode no = 1080; won: False; Q(s,a) = 68.7408564792497; reward = -459.0; and epsilon = 0.856, win percentage = 0.0, 2024-05-06 07:22:52
Episode no = 1090; won: False; Q(s,a) = 68.03628324281975; reward = -488.0; and epsilon = 0.8546666666666667, win percentage = 0.0, 2024-05-06 07:23:20
Episode no = 1100; won: False; Q(s,a) = 90.81350090585056; reward = -445.0; and epsilon = 0.8533333333333333, win percentage = 0.0, 2024-05-06 07:23:40
Episode no = 1110; won: False; Q(s,a) = 72.23380732136943; reward = -406.0; and epsilon = 0.852, win percentage = 0.0, 2024-05-06 07:23:56
Episode no = 1120; won: False; Q(s,a) = 67.43026591840584; reward = -284.0; and epsilon = 0.8506666666666667, win percentage = 0.0, 2024-05-06 07:24:16
Episode no = 1130; won: False; Q(s,a) = 71.65934338819048; reward = -347.0; and epsilon = 0.8493333333333333, win percentage = 0.0, 2024-05-06 07:24:36
Episode no = 1140; won: False; Q(s,a) = nan; reward = -489.0; and epsilon = 0.848, win percentage = 0.0, 2024-05-06 07:24:51
Episode no = 1150; won: False; Q(s,a) = 71.52851567556722; reward = -485.0; and epsilon = 0.8466666666666667, win percentage = 0.0, 2024-05-06 07:25:50
Episode no = 1160; won: False; Q(s,a) = 72.34481652410531; reward = -439.0; and epsilon = 0.8453333333333333, win percentage = 0.0, 2024-05-06 07:26:04
Episode no = 1170; won: False; Q(s,a) = 69.02845367820271; reward = -396.0; and epsilon = 0.844, win percentage = 0.0, 2024-05-06 07:26:34
Episode no = 1180; won: False; Q(s,a) = 65.06348178607377; reward = -451.0; and epsilon = 0.8426666666666667, win percentage = 0.0, 2024-05-06 07:26:58
Episode no = 1190; won: False; Q(s,a) = 59.68806033017305; reward = -428.0; and epsilon = 0.8413333333333333, win percentage = 0.0, 2024-05-06 07:27:10
Episode no = 1200; won: False; Q(s,a) = 72.94636238917562; reward = -398.0; and epsilon = 0.84, win percentage = 0.0, 2024-05-06 07:27:27
Episode no = 1210; won: False; Q(s,a) = 77.93785444600766; reward = -443.0; and epsilon = 0.8386666666666667, win percentage = 0.0, 2024-05-06 07:27:45
Episode no = 1220; won: False; Q(s,a) = 73.25674624518656; reward = -442.0; and epsilon = 0.8373333333333334, win percentage = 0.0, 2024-05-06 07:28:01
Episode no = 1230; won: False; Q(s,a) = 74.43696696669387; reward = -434.0; and epsilon = 0.836, win percentage = 0.0, 2024-05-06 07:28:19
Episode no = 1240; won: False; Q(s,a) = 68.0153859605224; reward = -152.0; and epsilon = 0.8346666666666667, win percentage = 0.0, 2024-05-06 07:28:40
Episode no = 1250; won: False; Q(s,a) = 3.088951630733066; reward = -475.0; and epsilon = 0.8333333333333334, win percentage = 0.0, 2024-05-06 07:29:06
Episode no = 1260; won: False; Q(s,a) = 78.32612653035196; reward = -419.0; and epsilon = 0.832, win percentage = 0.0, 2024-05-06 07:29:24
Episode no = 1270; won: False; Q(s,a) = 77.1657652284536; reward = -434.0; and epsilon = 0.8306666666666667, win percentage = 0.0, 2024-05-06 07:29:45
Episode no = 1280; won: False; Q(s,a) = 76.99488184165094; reward = -447.0; and epsilon = 0.8293333333333334, win percentage = 0.0, 2024-05-06 07:30:02
Episode no = 1290; won: False; Q(s,a) = 73.49811810450282; reward = -378.0; and epsilon = 0.8280000000000001, win percentage = 0.0, 2024-05-06 07:30:22
Episode no = 1300; won: False; Q(s,a) = 62.0854289283649; reward = -482.0; and epsilon = 0.8266666666666667, win percentage = 0.0, 2024-05-06 07:30:36
Episode no = 1310; won: False; Q(s,a) = 66.45371480362122; reward = -489.0; and epsilon = 0.8253333333333334, win percentage = 0.0, 2024-05-06 07:31:00
Episode no = 1320; won: False; Q(s,a) = 74.66098349328523; reward = -474.0; and epsilon = 0.8240000000000001, win percentage = 0.0, 2024-05-06 07:31:18
Episode no = 1330; won: False; Q(s,a) = 81.83482186094997; reward = -489.0; and epsilon = 0.8226666666666667, win percentage = 0.0, 2024-05-06 07:31:30
Episode no = 1340; won: False; Q(s,a) = 71.08000596284809; reward = -426.0; and epsilon = 0.8213333333333334, win percentage = 0.0, 2024-05-06 07:31:44
Episode no = 1350; won: False; Q(s,a) = 79.35241687309748; reward = -454.0; and epsilon = 0.8200000000000001, win percentage = 0.0, 2024-05-06 07:32:00
Episode no = 1360; won: False; Q(s,a) = 83.23616280492901; reward = -361.0; and epsilon = 0.8186666666666667, win percentage = 0.0, 2024-05-06 07:32:21
Episode no = 1370; won: False; Q(s,a) = 82.1701502065318; reward = -471.0; and epsilon = 0.8173333333333334, win percentage = 0.0, 2024-05-06 07:32:37
Episode no = 1380; won: False; Q(s,a) = 83.0561325397792; reward = -404.0; and epsilon = 0.8160000000000001, win percentage = 0.0, 2024-05-06 07:32:58
Episode no = 1390; won: False; Q(s,a) = 67.09600345079505; reward = -446.0; and epsilon = 0.8146666666666667, win percentage = 0.0, 2024-05-06 07:33:11
Episode no = 1400; won: False; Q(s,a) = 74.79344223324301; reward = -428.0; and epsilon = 0.8133333333333334, win percentage = 0.0, 2024-05-06 07:33:24
Episode no = 1410; won: False; Q(s,a) = 89.41460071697473; reward = -418.0; and epsilon = 0.812, win percentage = 0.0, 2024-05-06 07:33:38
Episode no = 1420; won: False; Q(s,a) = 103.75826056128538; reward = -317.0; and epsilon = 0.8106666666666666, win percentage = 0.0, 2024-05-06 07:34:00
Episode no = 1430; won: False; Q(s,a) = 92.16032520147039; reward = -417.0; and epsilon = 0.8093333333333333, win percentage = 0.0, 2024-05-06 07:34:20
Episode no = 1440; won: False; Q(s,a) = 143.35826513677196; reward = -437.0; and epsilon = 0.808, win percentage = 0.0, 2024-05-06 07:34:43
Episode no = 1450; won: False; Q(s,a) = 99.85078970825883; reward = -460.0; and epsilon = 0.8066666666666666, win percentage = 0.0, 2024-05-06 07:34:55
Episode no = 1460; won: False; Q(s,a) = 81.24278474169931; reward = -429.0; and epsilon = 0.8053333333333333, win percentage = 0.0, 2024-05-06 07:35:05
Episode no = 1470; won: False; Q(s,a) = 94.11472223434366; reward = -287.0; and epsilon = 0.804, win percentage = 0.0, 2024-05-06 07:35:22
Episode no = 1480; won: False; Q(s,a) = 79.33917297596143; reward = -479.0; and epsilon = 0.8026666666666666, win percentage = 0.0, 2024-05-06 07:35:39
Episode no = 1490; won: False; Q(s,a) = 97.18101628897634; reward = -285.0; and epsilon = 0.8013333333333333, win percentage = 0.0, 2024-05-06 07:35:58
Episode no = 1500; won: False; Q(s,a) = 90.95749792468293; reward = -350.0; and epsilon = 0.8, win percentage = 0.0, 2024-05-06 07:36:11
Episode no = 1510; won: False; Q(s,a) = 95.39831995038536; reward = -460.0; and epsilon = 0.7986666666666666, win percentage = 0.0, 2024-05-06 07:36:28
Episode no = 1520; won: False; Q(s,a) = 93.16500280295345; reward = -438.0; and epsilon = 0.7973333333333333, win percentage = 0.0, 2024-05-06 07:36:45
Episode no = 1530; won: False; Q(s,a) = 93.29546908939126; reward = -422.0; and epsilon = 0.796, win percentage = 0.0, 2024-05-06 07:36:56
Episode no = 1540; won: False; Q(s,a) = nan; reward = -454.0; and epsilon = 0.7946666666666666, win percentage = 0.0, 2024-05-06 07:37:09
Episode no = 1550; won: False; Q(s,a) = 88.99845626533283; reward = -408.0; and epsilon = 0.7933333333333333, win percentage = 0.0, 2024-05-06 07:37:26
